product_name,review_text,rating,review_quality
Wireless Bluetooth Earbuds,Worst experience ever.,3,Bad
Wireless Bluetooth Earbuds,Comfortable fit and amazing bass.,5,Good
Wireless Bluetooth Earbuds,Stopped working after few days.,1,Bad
Wireless Bluetooth Earbuds,Works smoothly without issues.,4,Good
Wireless Bluetooth Earbuds,Stopped working after few days.,1,Bad
Wireless Bluetooth Earbuds,Performance is below average.,2,Bad
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,5,Good
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,5,Good
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,4,Good
Wireless Bluetooth Earbuds,Comfortable fit and amazing bass.,4,Good
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,4,Good
Wireless Bluetooth Earbuds,"Not durable, feels cheap.",3,Bad
Wireless Bluetooth Earbuds,Fast delivery and great packaging.,5,Good
Wireless Bluetooth Earbuds,"Good performance, I liked it a lot.",4,Good
Wireless Bluetooth Earbuds,"Value for money, superb!",4,Good
Wireless Bluetooth Earbuds,Comfortable fit and amazing bass.,4,Good
Wireless Bluetooth Earbuds,"Very useful product, worth the price.",4,Good
Wireless Bluetooth Earbuds,Battery life is excellent and lasts long.,5,Good
Wireless Bluetooth Earbuds,Comfortable fit and amazing bass.,4,Good
Wireless Bluetooth Earbuds,Fast delivery and great packaging.,5,Good
Wireless Bluetooth Earbuds,Comfortable fit and amazing bass.,5,Good
Wireless Bluetooth Earbuds,"Very poor quality, not worth buying.",3,Bad
Wireless Bluetooth Earbuds,"Battery drains too fast, disappointed.",1,Bad
Wireless Bluetooth Earbuds,"Not durable, feels cheap.",2,Bad
Wireless Bluetooth Earbuds,Low volume and bad sound clarity.,3,Bad
Wireless Bluetooth Earbuds,Stopped working after few days.,1,Bad
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,4,Good
Wireless Bluetooth Earbuds,"Battery drains too fast, disappointed.",2,Bad
Wireless Bluetooth Earbuds,"Very useful product, worth the price.",4,Good
Wireless Bluetooth Earbuds,Low volume and bad sound clarity.,1,Bad
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,4,Good
Wireless Bluetooth Earbuds,Fast delivery and great packaging.,4,Good
Wireless Bluetooth Earbuds,Packaging was damaged.,1,Bad
Wireless Bluetooth Earbuds,Packaging was damaged.,2,Bad
Wireless Bluetooth Earbuds,"Very useful product, worth the price.",4,Good
Wireless Bluetooth Earbuds,Works smoothly without issues.,4,Good
Wireless Bluetooth Earbuds,Noise cancellation works perfectly.,5,Good
Wireless Bluetooth Earbuds,"Value for money, superb!",5,Good
Wireless Bluetooth Earbuds,Product quality is excellent.,5,Good
Wireless Bluetooth Earbuds,Comfortable fit and amazing bass.,5,Good
Wireless Bluetooth Earbuds,Stopped working after few days.,1,Bad
Wireless Bluetooth Earbuds,Does not match the description.,2,Bad
Wireless Bluetooth Earbuds,Works smoothly without issues.,5,Good
Wireless Bluetooth Earbuds,Does not match the description.,3,Bad
Wireless Bluetooth Earbuds,Battery life is excellent and lasts long.,4,Good
Wireless Bluetooth Earbuds,"Very poor quality, not worth buying.",2,Bad
Wireless Bluetooth Earbuds,"Very poor quality, not worth buying.",1,Bad
Wireless Bluetooth Earbuds,Fast delivery and great packaging.,5,Good
Wireless Bluetooth Earbuds,"Very poor quality, not worth buying.",1,Bad
Wireless Bluetooth Earbuds,"Value for money, superb!",4,Good
